# eps=0 uprime=-0.1
0 1 -0.1
0.01 0.999 -0.099995
0.03 0.997 -0.099955
0.07 0.993004 -0.099755
0.137513 0.986286 -0.0990554
0.231075 0.977078 -0.0973387
0.345668 0.966074 -0.0940729
0.475559 0.954141 -0.0888727
0.615808 0.942128 -0.0815669
0.762708 0.93077 -0.0721854
0.913688 0.920661 -0.0609103
1.06705 0.912252 -0.0480259
1.22175 0.905873 -0.0338775
1.37712 0.901745 -0.0188431
1.53284 0.900002 -0.00331494
1.68872 0.9007 0.0123132
1.84472 0.903829 0.0276542
2.00086 0.90932 0.0423333
2.15722 0.917047 0.0559939
2.31387 0.926836 0.0683017
2.47092 0.938466 0.07895
2.62848 0.951669 0.0876652
2.78663 0.966137 0.0942124
2.94545 0.981527 0.0984023
3.10501 0.997463 0.100097
3.26535 1.01355 0.0992172
3.42649 1.02936 0.0957463
3.58844 1.04448 0.0897362
3.75118 1.05849 0.0813092
3.91469 1.07101 0.0706584
4.0789 1.08165 0.0580459
4.24374 1.09011 0.0437976
4.40913 1.09612 0.0282951
4.57497 1.09949 0.0119652
4.74114 1.10011 -0.00473334
4.90754 1.09793 -0.0213252
5.07403 1.09303 -0.0373345
5.24048 1.08552 -0.0523019
5.40678 1.07564 -0.0658006
5.57278 1.06368 -0.077451
5.73838 1.04998 -0.0869339
5.90346 1.03495 -0.0939999
6.06793 1.01901 -0.0984761
6.2317 1.00263 -0.100269
6.3947 0.986252 -0.0993663
6.55689 0.970317 -0.0958296
6.71824 0.955241 -0.0897928
6.87875 0.941405 -0.0814521
7.03843 0.929146 -0.0710572
7.19732 0.91875 -0.0589019
7.3555 0.91045 -0.0453135
7.51303 0.904422 -0.0306441
7.67002 0.900789 -0.0152612
7.8266 0.899616 0.000459724
7.98288 0.900914 0.0161423
8.13901 0.904641 0.0314155
8.29512 0.910708 0.0459192
8.45135 0.918972 0.0593093
8.60784 0.929245 0.0712634
8.76472 0.941296 0.0814864
8.9221 0.954847 0.0897159
9.08007 0.969583 0.0957295
9.23872 0.985153 0.0993505
9.39811 1.00118 0.100455
9.55829 1.01725 0.0989776
9.71927 1.03296 0.0949178
9.88106 1.04789 0.0883427
10.0436 1.06162 0.0793902
10.2069 1.07376 0.0682683
10.371 1.08397 0.0552529
