-10 -1
-9.93311 -1
-9.86622 -1
-9.79933 -1
-9.73244 -1
-9.66555 -1
-9.59866 -1
-9.53177 -1
-9.46488 -1
-9.39799 -1
-9.3311 -1
-9.26421 -1
-9.19732 -1
-9.13043 -1
-9.06355 -1
-8.99666 -1
-8.92977 -1
-8.86288 -1
-8.79599 -1
-8.7291 -1
-8.66221 -1
-8.59532 -1
-8.52843 -1
-8.46154 -1
-8.39465 -1
-8.32776 -1
-8.26087 -1
-8.19398 -1
-8.12709 -1
-8.0602 -1
-7.99331 -1
-7.92642 -1
-7.85953 -1
-7.79264 -1
-7.72575 -1
-7.65886 -1
-7.59197 -1
-7.52508 -1
-7.45819 -1
-7.3913 -1
-7.32441 -1
-7.25753 -1
-7.19064 -1
-7.12375 -1
-7.05686 -1
-6.98997 -1
-6.92308 -1
-6.85619 -1
-6.7893 -1
-6.72241 -1
-6.65552 -1
-6.58863 -1
-6.52174 -1
-6.45485 -1
-6.38796 -1
-6.32107 -1
-6.25418 -1
-6.18729 -1
-6.1204 -1
-6.05351 -1
-5.98662 -1
-5.91973 -1
-5.85284 -1
-5.78595 -1
-5.71906 -1
-5.65217 -1
-5.58528 -1
-5.51839 -1
-5.45151 -1
-5.38462 -1
-5.31773 -1
-5.25084 -1
-5.18395 -1
-5.11706 -1
-5.05017 -1
-4.98328 -1
-4.91639 -1
-4.8495 -1
-4.78261 -1
-4.71572 -1
-4.64883 -1
-4.58194 -1
-4.51505 -1
-4.44816 -1
-4.38127 -1
-4.31438 -1
-4.24749 -1
-4.1806 -1
-4.11371 -1
-4.04682 -1
-3.97993 -1
-3.91304 -1
-3.84615 -1
-3.77926 -1
-3.71237 -1
-3.64548 -1
-3.5786 -1
-3.51171 -0.999999
-3.44482 -0.999999
-3.37793 -0.999998
-3.31104 -0.999997
-3.24415 -0.999996
-3.17726 -0.999993
-3.11037 -0.999989
-3.04348 -0.999983
-2.97659 -0.999974
-2.9097 -0.999961
-2.84281 -0.999942
-2.77592 -0.999914
-2.70903 -0.999872
-2.64214 -0.999813
-2.57525 -0.999729
-2.50836 -0.999611
-2.44147 -0.999445
-2.37458 -0.999215
-2.30769 -0.9989
-2.2408 -0.99847
-2.17391 -0.997891
-2.10702 -0.997115
-2.04013 -0.996088
-1.97324 -0.994739
-1.90635 -0.992982
-1.83946 -0.990715
-1.77258 -0.987817
-1.70569 -0.984144
-1.6388 -0.979529
-1.57191 -0.973785
-1.50502 -0.966697
-1.43813 -0.95803
-1.37124 -0.947526
-1.30435 -0.934908
-1.23746 -0.919887
-1.17057 -0.902163
-1.10368 -0.881438
-1.03679 -0.857417
-0.9699 -0.829826
-0.90301 -0.798415
-0.83612 -0.762974
-0.769231 -0.723342
-0.702341 -0.679417
-0.635452 -0.631168
-0.568562 -0.578642
-0.501672 -0.521968
-0.434783 -0.461363
-0.367893 -0.397131
-0.301003 -0.329661
-0.234114 -0.259421
-0.167224 -0.186948
-0.100334 -0.112837
-0.0334448 -0.0377244
0.0334448 0.0377244
0.100334 0.112837
0.167224 0.186948
0.234114 0.259421
0.301003 0.329661
0.367893 0.397131
0.434783 0.461363
0.501672 0.521968
0.568562 0.578642
0.635452 0.631168
0.702341 0.679417
0.769231 0.723342
0.83612 0.762974
0.90301 0.798415
0.9699 0.829826
1.03679 0.857417
1.10368 0.881438
1.17057 0.902163
1.23746 0.919887
1.30435 0.934908
1.37124 0.947526
1.43813 0.95803
1.50502 0.966697
1.57191 0.973785
1.6388 0.979529
1.70569 0.984144
1.77258 0.987817
1.83946 0.990715
1.90635 0.992982
1.97324 0.994739
2.04013 0.996088
2.10702 0.997115
2.17391 0.997891
2.2408 0.99847
2.30769 0.9989
2.37458 0.999215
2.44147 0.999445
2.50836 0.999611
2.57525 0.999729
2.64214 0.999813
2.70903 0.999872
2.77592 0.999914
2.84281 0.999942
2.9097 0.999961
2.97659 0.999974
3.04348 0.999983
3.11037 0.999989
3.17726 0.999993
3.24415 0.999996
3.31104 0.999997
3.37793 0.999998
3.44482 0.999999
3.51171 0.999999
3.5786 1
3.64548 1
3.71237 1
3.77926 1
3.84615 1
3.91304 1
3.97993 1
4.04682 1
4.11371 1
4.1806 1
4.24749 1
4.31438 1
4.38127 1
4.44816 1
4.51505 1
4.58194 1
4.64883 1
4.71572 1
4.78261 1
4.8495 1
4.91639 1
4.98328 1
5.05017 1
5.11706 1
5.18395 1
5.25084 1
5.31773 1
5.38462 1
5.45151 1
5.51839 1
5.58528 1
5.65217 1
5.71906 1
5.78595 1
5.85284 1
5.91973 1
5.98662 1
6.05351 1
6.1204 1
6.18729 1
6.25418 1
6.32107 1
6.38796 1
6.45485 1
6.52174 1
6.58863 1
6.65552 1
6.72241 1
6.7893 1
6.85619 1
6.92308 1
6.98997 1
7.05686 1
7.12375 1
7.19064 1
7.25753 1
7.32441 1
7.3913 1
7.45819 1
7.52508 1
7.59197 1
7.65886 1
7.72575 1
7.79264 1
7.85953 1
7.92642 1
7.99331 1
8.0602 1
8.12709 1
8.19398 1
8.26087 1
8.32776 1
8.39465 1
8.46154 1
8.52843 1
8.59532 1
8.66221 1
8.7291 1
8.79599 1
8.86288 1
8.92977 1
8.99666 1
9.06355 1
9.13043 1
9.19732 1
9.26421 1
9.3311 1
9.39799 1
9.46488 1
9.53177 1
9.59866 1
9.66555 1
9.73244 1
9.79933 1
9.86622 1
9.93311 1
10 1
