10 2.6326e-05
15 6.6856e-05
21 0.000162314
27 0.000270018
33 0.000468385
39 0.000715518
45 0.00116174
51 0.00231964
57 0.00354531
63 0.00451589
69 0.0115615
75 0.0134137
81 0.0289265
86 0.0142512
92 0.027258
98 0.0211377
104 0.018121
110 0.0316459
116 0.0887859
122 0.0810523
128 0.197191
134 0.119101
140 0.0949639
146 0.213066
152 0.156596
157 0.181178
163 0.221506
169 0.182944
175 0.298673
181 0.279256
187 0.355879
193 0.359712
199 0.487536
205 0.487518
211 0.441538
217 0.506807
223 0.487053
228 0.583333
234 0.626995
240 0.840708
246 0.699639
252 0.705089
258 0.708517
264 0.94476
270 0.930638
276 0.895091
282 0.993367
288 0.880893
294 1.00696
300 1.19822
