100 0.683333 3.84
200 0.419943 2.64
300 0.341486 2.61333
400 0.324413 3.32
500 0.270031 2.752
600 0.263697 3.28
700 0.243184 3.24571
800 0.220226 2.98
900 0.20781 2.98667
1000 0.198089 3.024
1100 0.19773 3.41818
1200 0.1827 3.10667
1300 0.178771 3.26154
1400 0.171731 3.23429
1500 0.168657 3.38133
1600 0.162923 3.36
1700 0.150774 2.96471
1800 0.152551 3.29778
1900 0.148114 3.27579
2000 0.143907 3.248
2100 0.138269 3.11619
2200 0.13431 3.06909
2300 0.128774 2.91478
2400 0.129189 3.10667
2500 0.126932 3.1296
2600 0.125875 3.22462
2700 0.120435 3.0163
2800 0.116793 2.92
2900 0.119682 3.26069
3000 0.117786 3.26933
3100 0.114878 3.19484
3200 0.112938 3.185
3300 0.11185 3.23394
3400 0.111764 3.36
3500 0.107596 3.15429
3600 0.103965 2.99111
3700 0.104024 3.10486
3800 0.104532 3.25895
3900 0.101836 3.14667
4000 0.100426 3.136
4100 0.0994449 3.15707
4200 0.0973608 3.0819
4300 0.0960331 3.06605
4400 0.0951854 3.08727
4500 0.0968834 3.33511
4600 0.0916437 2.96348
4700 0.0917134 3.05362
4800 0.0903309 3.01667
4900 0.0901083 3.07918
5000 0.0893701 3.0944
5100 0.0880316 3.05255
5200 0.0885916 3.18462
5300 0.0859885 3.01887
5400 0.0876623 3.2563
5500 0.085493 3.12145
5600 0.0843566 3.08571
5700 0.0848536 3.20842
5800 0.08321 3.11724
5900 0.0821053 3.07797
6000 0.0821027 3.14667
6100 0.0796415 2.96918
6200 0.0807092 3.14065
6300 0.0787244 3.00444
6400 0.0804188 3.245
6500 0.0795421 3.21723
6600 0.0786215 3.18303
6700 0.0777918 3.15701
6800 0.076962 3.12941
6900 0.0777497 3.27884
7000 0.076061 3.152
7100 0.0746396 3.05577
7200 0.074445 3.09111
7300 0.0741058 3.11014
7400 0.0732628 3.07243
7500 0.0726917 3.06347
7600 0.0722848 3.07158
7700 0.0724689 3.14597
7800 0.0718489 3.12821
7900 0.0699636 2.96709
8000 0.0691507 2.926
8100 0.0686813 2.92148
8200 0.0703345 3.15902
8300 0.0698009 3.14602
8400 0.0690382 3.10476
8500 0.0683545 3.072
8600 0.0685728 3.14605
8700 0.0680922 3.13563
8800 0.0679612 3.16727
8900 0.0672761 3.12989
9000 0.0666474 3.09867
9100 0.0673515 3.23341
9200 0.0661745 3.13043
9300 0.0655485 3.09677
9400 0.0652756 3.10638
9500 0.0651517 3.13432
9600 0.0648949 3.145
9700 0.0647423 3.16866
9800 0.0638701 3.09878
9900 0.064625 3.2404
10000 0.0637102 3.1616
