0 1 0
0.0909091 0.958209 0.0890095
0.181818 0.916419 0.17422
0.272727 0.874628 0.255631
0.363636 0.832837 0.333243
0.454545 0.791047 0.407056
0.545455 0.749256 0.47707
0.636364 0.707465 0.543284
0.727273 0.665674 0.6057
0.818182 0.623884 0.664316
0.909091 0.582093 0.719133
1 0.540302 0.770151
1.09091 0.453352 0.815317
1.18182 0.366402 0.852579
1.27273 0.279453 0.881936
1.36364 0.192503 0.903388
1.45455 0.105553 0.916936
1.54545 0.0186028 0.92258
1.63636 -0.0683471 0.920319
1.72727 -0.155297 0.910153
1.81818 -0.242247 0.892083
1.90909 -0.329197 0.866108
2 -0.416147 0.832229
2.09091 -0.468315 0.792026
2.18182 -0.520482 0.747081
2.27273 -0.57265 0.697393
2.36364 -0.624818 0.642963
2.45455 -0.676986 0.58379
2.54545 -0.729154 0.519874
2.63636 -0.781321 0.451216
2.72727 -0.833489 0.377816
2.81818 -0.885657 0.299673
2.90909 -0.937825 0.216787
3 -0.989992 0.129159
3.09091 -0.959415 0.0405498
3.18182 -0.928838 -0.0452799
3.27273 -0.898261 -0.12833
3.36364 -0.867684 -0.2086
3.45455 -0.837107 -0.286091
3.54545 -0.806529 -0.360801
3.63636 -0.775952 -0.432732
3.72727 -0.745375 -0.501884
3.81818 -0.714798 -0.568255
3.90909 -0.684221 -0.631847
4 -0.653644 -0.692659
4.09091 -0.568434 -0.748208
4.18182 -0.483224 -0.79601
4.27273 -0.398015 -0.836067
4.36364 -0.312805 -0.868377
4.45455 -0.227596 -0.89294
4.54545 -0.142386 -0.909758
4.63636 -0.0571763 -0.918829
4.72727 0.0280333 -0.920153
4.81818 0.113243 -0.913732
4.90909 0.198453 -0.899564
5 0.283662 -0.87765
5.09091 0.345163 -0.849067
5.18182 0.406664 -0.814893
5.27273 0.468164 -0.775128
5.36364 0.529665 -0.729772
5.45455 0.591166 -0.678825
5.54545 0.652667 -0.622287
5.63636 0.714167 -0.560158
5.72727 0.775668 -0.492439
5.81818 0.837169 -0.419128
5.90909 0.89867 -0.340226
6 0.96017 -0.255733
6.09091 0.941419 -0.169297
6.18182 0.922667 -0.0845663
6.27273 0.903915 -0.00153982
6.36364 0.885164 0.079782
6.45455 0.866412 0.159399
6.54545 0.84766 0.237311
6.63636 0.828909 0.313519
6.72727 0.810157 0.388022
6.81818 0.791406 0.46082
6.90909 0.772654 0.531914
7 0.753902 0.601303
7.09091 0.672138 0.666123
7.18182 0.590375 0.72351
7.27273 0.508611 0.773464
7.36364 0.426847 0.815985
7.45455 0.345083 0.851072
7.54545 0.263319 0.878727
7.63636 0.181555 0.898949
7.72727 0.0997915 0.911737
7.81818 0.0180277 0.917092
7.90909 -0.0637362 0.915015
8 -0.1455 0.905504
8.09091 -0.215103 0.889113
8.18182 -0.284706 0.866394
8.27273 -0.354308 0.837348
8.36364 -0.423911 0.801975
8.45455 -0.493514 0.760274
8.54545 -0.563117 0.712245
8.63636 -0.632719 0.657889
8.72727 -0.702322 0.597205
8.81818 -0.771925 0.530194
8.90909 -0.841528 0.456855
9 -0.91113 0.377189
