0 1 0 -0.313431
0.0909091 0.971396 0.0896114 -0.317057
0.181818 0.942133 0.176598 -0.327937
0.272727 0.911552 0.260868 -0.346069
0.363636 0.878992 0.342274 -0.371454
0.454545 0.843795 0.420605 -0.404092
0.545455 0.805301 0.495592 -0.443983
0.636364 0.762851 0.566904 -0.491127
0.727273 0.715785 0.634152 -0.545524
0.818182 0.663445 0.696887 -0.607173
0.909091 0.60517 0.754598 -0.676076
1 0.540302 0.806718 -0.752231
1.09091 0.468467 0.852622 -0.826197
1.18182 0.390437 0.891706 -0.88853
1.27273 0.307269 0.923455 -0.939232
1.36364 0.22002 0.947449 -0.978301
1.45455 0.129749 0.963367 -1.00574
1.54545 0.0375112 0.97098 -1.02154
1.63636 -0.0556341 0.97016 -1.02572
1.72727 -0.14863 0.96087 -1.01826
1.81818 -0.240419 0.943173 -0.999165
1.90909 -0.329944 0.917226 -0.968441
2 -0.416147 0.883283 -0.926085
2.09091 -0.498081 0.841693 -0.875749
2.18182 -0.575243 0.792868 -0.821084
2.27273 -0.647238 0.73726 -0.76209
2.36364 -0.713673 0.675357 -0.698768
2.45455 -0.774156 0.607681 -0.631117
2.54545 -0.828291 0.534793 -0.559138
2.63636 -0.875686 0.457287 -0.48283
2.72727 -0.915947 0.375794 -0.402194
2.81818 -0.948681 0.29098 -0.317229
2.90909 -0.973494 0.203547 -0.227935
3 -0.989992 0.114233 -0.134313
3.09091 -0.997891 0.0238094 -0.0399192
3.18182 -0.997335 -0.0669458 0.0516898
3.27273 -0.988577 -0.157276 0.140514
3.36364 -0.971871 -0.246446 0.226553
3.45455 -0.94747 -0.333746 0.309807
3.54545 -0.915627 -0.418488 0.390276
3.63636 -0.876595 -0.500006 0.46796
3.72727 -0.830628 -0.577659 0.54286
3.81818 -0.777978 -0.650827 0.614974
3.90909 -0.718899 -0.718915 0.684303
4 -0.653644 -0.781349 0.750848
4.09091 -0.582552 -0.837581 0.811738
4.18182 -0.506313 -0.887111 0.864106
4.27273 -0.425701 -0.929506 0.90795
4.36364 -0.34149 -0.964402 0.943272
4.45455 -0.254455 -0.991509 0.970072
4.54545 -0.165371 -1.0106 0.988348
4.63636 -0.0750135 -1.02154 0.998101
4.72727 0.0158435 -1.02423 0.999332
4.81818 0.106425 -1.01867 0.99204
4.90909 0.195956 -1.00491 0.976225
5 0.283662 -0.983093 0.951887
5.09091 0.368809 -0.953413 0.92036
5.18182 0.450823 -0.916132 0.882978
5.27273 0.529173 -0.871556 0.83974
5.36364 0.603326 -0.820045 0.790647
5.45455 0.672749 -0.762004 0.735699
5.54545 0.736912 -0.697887 0.674895
5.63636 0.79528 -0.628196 0.608236
5.72727 0.847323 -0.553482 0.535721
5.81818 0.892507 -0.474345 0.457352
5.90909 0.9303 -0.391432 0.373126
6 0.96017 -0.30544 0.283046
6.09091 0.981691 -0.21711 0.190589
6.18182 0.994856 -0.127204 0.0992339
6.27273 0.999767 -0.0364768 0.00898159
6.36364 0.996523 0.054325 -0.0801683
6.45455 0.985224 0.144465 -0.168216
6.54545 0.965971 0.233216 -0.255161
6.63636 0.938865 0.319858 -0.341003
6.72727 0.904004 0.403683 -0.425744
6.81818 0.86149 0.483991 -0.509381
6.90909 0.811423 0.560089 -0.591917
7 0.753902 0.631296 -0.67335
7.09091 0.689177 0.696943 -0.748807
7.18182 0.618084 0.756408 -0.813414
7.27273 0.541612 0.809159 -0.867172
7.36364 0.460745 0.85475 -0.910081
7.45455 0.376471 0.892827 -0.94214
7.54545 0.289776 0.923126 -0.96335
7.63636 0.201645 0.94547 -0.973711
7.72727 0.113066 0.959775 -0.973222
7.81818 0.0250249 0.966044 -0.961883
7.90909 -0.0614927 0.964371 -0.939695
8 -0.1455 0.95494 -0.906658
8.09091 -0.226228 0.938018 -0.869944
8.18182 -0.303778 0.913904 -0.836727
8.27273 -0.378466 0.882872 -0.807006
8.36364 -0.450612 0.845169 -0.780782
8.45455 -0.520533 0.80101 -0.758054
8.54545 -0.588546 0.750584 -0.738823
8.63636 -0.65497 0.69405 -0.723089
8.72727 -0.720123 0.631537 -0.710851
8.81818 -0.784322 0.563147 -0.70211
8.90909 -0.847885 0.488952 -0.696865
9 -0.91113 0.408996 -0.695116
