0 1 0 -0.612664
0.0909091 0.945567 0.0884157 -0.584852
0.181818 0.893663 0.171998 -0.55704
0.272727 0.844287 0.250977 -0.529228
0.363636 0.79744 0.325581 -0.501416
0.454545 0.753121 0.396042 -0.473604
0.545455 0.71133 0.462589 -0.445792
0.636364 0.672068 0.525452 -0.41798
0.727273 0.635334 0.58486 -0.390168
0.818182 0.601128 0.641044 -0.362356
0.909091 0.569451 0.694233 -0.334543
1 0.540302 0.744657 -0.306731
1.09091 0.481764 0.791157 -0.67517
1.18182 0.417544 0.832078 -0.737677
1.27273 0.347641 0.866902 -0.800183
1.36364 0.272056 0.895113 -0.86269
1.45455 0.190789 0.916195 -0.925196
1.54545 0.103839 0.92963 -0.987702
1.63636 0.0112064 0.934902 -1.05021
1.72727 -0.0871083 0.931495 -1.11272
1.81818 -0.191105 0.918892 -1.17522
1.90909 -0.300785 0.896577 -1.23773
2 -0.416147 0.864032 -1.30023
2.09091 -0.471523 0.823679 -0.605606
2.18182 -0.526257 0.77832 -0.598548
2.27273 -0.58035 0.728015 -0.59149
2.36364 -0.633801 0.672821 -0.584432
2.45455 -0.68661 0.612798 -0.577375
2.54545 -0.738778 0.548003 -0.570317
2.63636 -0.790304 0.478494 -0.563259
2.72727 -0.841189 0.40433 -0.556201
2.81818 -0.891432 0.32557 -0.549143
2.90909 -0.941033 0.242271 -0.542085
3 -0.989992 0.154493 -0.535027
3.09091 -1.03785 0.0621993 -0.440116
3.18182 -1.07001 -0.0337313 -0.267568
3.27273 -1.08649 -0.131873 -0.0950206
3.36364 -1.08729 -0.2308 0.0775272
3.45455 -1.0724 -0.329087 0.250075
3.54545 -1.04182 -0.425307 0.422623
3.63636 -0.995559 -0.518034 0.595171
3.72727 -0.933609 -0.605842 0.767718
3.81818 -0.855973 -0.687306 0.940266
3.90909 -0.762652 -0.760998 1.11281
4 -0.653644 -0.825494 1.28536
4.09091 -0.696531 -0.88706 -0.330851
4.18182 -0.713798 -0.95136 -0.0490386
4.27273 -0.705447 -1.01607 0.232774
4.36364 -0.671476 -1.07885 0.514587
4.45455 -0.611886 -1.13738 0.796399
4.54545 -0.526676 -1.18932 1.07821
4.63636 -0.415847 -1.23236 1.36002
4.72727 -0.279399 -1.26415 1.64184
4.81818 -0.117331 -1.28238 1.92365
4.90909 0.0703559 -1.28471 2.20546
5 0.283662 -1.26881 2.48728
5.09091 0.23862 -1.24523 -0.378269
5.18182 0.214886 -1.22478 -0.143874
5.27273 0.212461 -1.20552 0.0905208
5.36364 0.231344 -1.18551 0.324916
5.45455 0.271536 -1.16281 0.559311
5.54545 0.333037 -1.13549 0.793706
5.63636 0.415847 -1.10161 1.0281
5.72727 0.519965 -1.05924 1.2625
5.81818 0.645391 -1.00643 1.49689
5.90909 0.792126 -0.941247 1.73129
6 0.96017 -0.861759 1.96568
6.09091 0.907832 -0.776901 -0.538774
6.18182 0.862211 -0.696495 -0.464884
6.27273 0.823308 -0.619931 -0.390993
6.36364 0.791122 -0.546599 -0.317103
6.45455 0.765653 -0.475888 -0.243213
6.54545 0.746901 -0.407186 -0.169323
6.63636 0.734867 -0.339884 -0.0954328
6.72727 0.72955 -0.27337 -0.0215426
6.81818 0.73095 -0.207035 0.0523476
6.90909 0.739067 -0.140267 0.126238
7 0.753902 -0.0724554 0.200128
7.09091 0.695836 -0.00652229 -0.664798
7.18182 0.63303 0.0539166 -0.716932
7.27273 0.565484 0.10843 -0.769067
7.36364 0.4932 0.156588 -0.821201
7.45455 0.416175 0.197959 -0.873335
7.54545 0.334411 0.232113 -0.925469
7.63636 0.247908 0.258618 -0.977604
7.72727 0.156665 0.277043 -1.02974
7.81818 0.0606829 0.286959 -1.08187
7.90909 -0.0400388 0.287933 -1.13401
8 -0.1455 0.279535 -1.18614
8.09091 -0.202461 0.263738 -0.640476
8.18182 -0.26195 0.242648 -0.668288
8.27273 -0.323968 0.216034 -0.6961
8.36364 -0.388514 0.183668 -0.723912
8.45455 -0.455588 0.145319 -0.751724
8.54545 -0.525191 0.100757 -0.779536
8.63636 -0.597322 0.0497529 -0.807348
8.72727 -0.671982 -0.00792359 -0.83516
8.81818 -0.749169 -0.0725022 -0.862972
8.90909 -0.828886 -0.144213 -0.890784
9 -0.91113 -0.223285 -0.918596
