-1 0.342408 0.545223 -14.6903 0.244975 0.353227 -1 0.353227
-0.98995 0.34714 0.395897 -15.0175 0.248441 0.35464 -0.959184 0.352126
-0.979899 0.350355 0.24353 -15.295 0.251948 0.354981 -0.918367 0.331456
-0.969849 0.352027 0.0886314 -15.5211 0.255478 0.354208 -0.877551 0.28944
-0.959799 0.35213 -0.0682749 -15.6943 0.259018 0.352282 -0.836735 0.225437
-0.949749 0.350649 -0.226652 -15.8136 0.262551 0.349168 -0.795918 0.140133
-0.939698 0.347571 -0.385952 -15.8781 0.266061 0.344832 -0.755102 0.0356666
-0.929648 0.34289 -0.545624 -15.8875 0.269532 0.339246 -0.714286 -0.0843488
-0.919598 0.336605 -0.705114 -15.8417 0.272948 0.332385 -0.673469 -0.214902
-0.909548 0.328719 -0.863867 -15.741 0.276293 0.324226 -0.632653 -0.349779
-0.899497 0.319245 -1.02133 -15.5859 0.27955 0.314752 -0.591837 -0.481862
-0.889447 0.308196 -1.17697 -15.3773 0.282704 0.303952 -0.55102 -0.603526
-0.879397 0.295595 -1.33025 -15.1162 0.28574 0.291815 -0.510204 -0.707105
-0.869347 0.281467 -1.48065 -14.8041 0.288641 0.278339 -0.469388 -0.785403
-0.859296 0.265845 -1.62765 -14.4424 0.291392 0.263525 -0.428571 -0.832207
-0.849246 0.248764 -1.77079 -14.0329 0.29398 0.24738 -0.387755 -0.842768
-0.839196 0.230265 -1.90957 -13.5776 0.296388 0.229914 -0.346939 -0.814207
-0.829146 0.210396 -2.04355 -13.0784 0.298603 0.211145 -0.306122 -0.745815
-0.819095 0.189207 -2.17231 -12.5375 0.300613 0.191095 -0.265306 -0.63921
-0.809045 0.166751 -2.29543 -11.957 0.302402 0.169791 -0.22449 -0.498338
-0.798995 0.143087 -2.41253 -11.3393 0.30396 0.147267 -0.183673 -0.329316
-0.788945 0.118279 -2.52324 -10.6865 0.305275 0.123561 -0.142857 -0.140109
-0.778894 0.0923916 -2.62722 -10.001 0.306334 0.0987169 -0.102041 0.0599279
-0.768844 0.0654942 -2.72416 -9.2849 0.307128 0.072785 -0.0612245 0.260616
-0.758794 0.0376591 -2.81376 -8.54048 0.307648 0.0458198 -0.0204082 0.451588
-0.748744 0.00896171 -2.89574 -7.76982 0.307882 0.0178818 0.0204082 0.622948
-0.738693 -0.0205203 -2.96985 -6.97495 0.307825 -0.0109636 0.0612245 0.765896
-0.728643 -0.0507067 -3.03587 -6.15783 0.307468 -0.0406456 0.102041 0.873288
-0.718593 -0.0815149 -3.09356 -5.32033 0.306804 -0.0710886 0.142857 0.940078
-0.708543 -0.11286 -3.14275 -4.46422 0.305827 -0.102212 0.183673 0.963607
-0.698492 -0.144657 -3.18324 -3.59117 0.304534 -0.133931 0.22449 0.943734
-0.688442 -0.176815 -3.21488 -2.70278 0.302918 -0.166157 0.265306 0.882785
-0.678392 -0.209247 -3.23752 -1.80054 0.300979 -0.198795 0.306122 0.785343
-0.668342 -0.241861 -3.25103 -0.885917 0.298712 -0.231749 0.346939 0.657886
-0.658291 -0.274563 -3.25529 0.0397212 0.296117 -0.264917 0.387755 0.508306
-0.648241 -0.307262 -3.2502 0.975024 0.293193 -0.298196 0.428571 0.345363
-0.638191 -0.339862 -3.23566 1.91867 0.289941 -0.331478 0.469388 0.178095
-0.628141 -0.372269 -3.21161 2.86933 0.286362 -0.364655 0.510204 0.0152426
-0.61809 -0.404385 -3.17797 3.82566 0.282459 -0.397614 0.55102 -0.135274
-0.60804 -0.436115 -3.1347 4.78627 0.278235 -0.430243 0.591837 -0.266791
-0.59799 -0.467362 -3.08175 5.74971 0.273695 -0.462427 0.632653 -0.37422
-0.58794 -0.498028 -3.01912 6.71445 0.268843 -0.494051 0.673469 -0.454251
-0.577889 -0.528015 -2.94679 7.67882 0.263686 -0.524998 0.714286 -0.505401
-0.567839 -0.557227 -2.86478 8.64106 0.258232 -0.555152 0.755102 -0.527957
-0.557789 -0.585566 -2.77311 9.59923 0.252489 -0.584399 0.795918 -0.523789
-0.547739 -0.612936 -2.67185 10.5512 0.246465 -0.612623 0.836735 -0.496084
-0.537688 -0.63924 -2.56106 11.4948 0.240172 -0.639712 0.877551 -0.449012
-0.527638 -0.664383 -2.44083 12.4275 0.23362 -0.665554 0.918367 -0.387368
-0.517588 -0.688271 -2.3113 13.3467 0.226822 -0.690041 0.959184 -0.316198
-0.507538 -0.710811 -2.17261 14.2495 0.21979 -0.713066 1 -0.240462
-0.497487 -0.731911 -2.02495 15.1328 0.212539 -0.734526
-0.487437 -0.751484 -1.86851 15.9934 0.205083 -0.754323
-0.477387 -0.769441 -1.70356 16.8278 0.197439 -0.772362
-0.467337 -0.785698 -1.53037 17.6324 0.189623 -0.788553
-0.457286 -0.800175 -1.34925 18.4035 0.181652 -0.80281
-0.447236 -0.812794 -1.16057 19.137 0.173545 -0.815054
-0.437186 -0.823479 -0.964727 19.829 0.165321 -0.825212
-0.427136 -0.832163 -0.762152 20.4754 0.157 -0.833216
-0.417085 -0.838778 -0.553329 21.0719 0.148601 -0.839005
-0.407035 -0.843266 -0.338779 21.6143 0.140147 -0.842526
-0.396985 -0.84557 -0.119066 22.0985 0.131658 -0.843732
-0.386935 -0.845644 0.105202 22.5203 0.123158 -0.842585
-0.376884 -0.843443 0.33338 22.8756 0.114668 -0.839053
-0.366834 -0.838932 0.564779 23.1608 0.106212 -0.833114
-0.356784 -0.832082 0.798675 23.3719 0.097813 -0.824752
-0.346734 -0.822872 1.03431 23.5056 0.0894947 -0.813963
-0.336683 -0.811289 1.27088 23.5587 0.0812809 -0.800747
-0.326633 -0.797326 1.50757 23.5282 0.0731954 -0.785116
-0.316583 -0.780988 1.74352 23.4118 0.0652622 -0.76709
-0.306533 -0.762286 1.97786 23.2073 0.057505 -0.746698
-0.296482 -0.741241 2.2097 22.9131 0.0499477 -0.723975
-0.286432 -0.717882 2.43812 22.5279 0.0426135 -0.698968
-0.276382 -0.692248 2.66221 22.051 0.0355255 -0.671732
-0.266332 -0.664387 2.88105 21.4824 0.0287064 -0.642329
-0.256281 -0.634358 3.09371 20.8224 0.0221783 -0.61083
-0.246231 -0.602226 3.29929 20.0719 0.0159625 -0.577315
-0.236181 -0.568067 3.49687 19.2325 0.01008 -0.541871
-0.226131 -0.531967 3.68558 18.3063 0.0045506 -0.504592
-0.21608 -0.494018 3.86456 17.2959 -0.000606611 -0.465579
-0.20603 -0.454323 4.03297 16.2047 -0.00537356 -0.424943
-0.19598 -0.412991 4.19002 15.0363 -0.00973324 -0.382798
-0.18593 -0.370142 4.33496 13.7953 -0.0136698 -0.339266
-0.175879 -0.325899 4.46708 12.4863 -0.0171686 -0.294474
-0.165829 -0.280396 4.58573 11.1149 -0.0202163 -0.248555
-0.155779 -0.233771 4.69031 9.68677 -0.022801 -0.201646
-0.145729 -0.186168 4.78027 8.20819 -0.024912 -0.153889
-0.135678 -0.137736 4.85515 6.68575 -0.0265402 -0.105429
-0.125628 -0.0886287 4.91454 5.12636 -0.0276783 -0.0564155
-0.115578 -0.0390041 4.95809 3.53722 -0.02832 -0.00699894
-0.105528 0.0109775 4.98556 1.92575 -0.0284611 0.0426669
-0.0954774 0.0611536 4.99675 0.299534 -0.0280987 0.0924272
-0.0854271 0.11136 4.99156 -1.33375 -0.0272317 0.142126
-0.0753769 0.161431 4.96995 -2.96636 -0.0258608 0.191607
-0.0653266 0.211203 4.93196 -4.59057 -0.0239879 0.240715
-0.0552764 0.260512 4.87773 -6.19872 -0.021617 0.289294
-0.0452261 0.309194 4.80744 -7.78327 -0.0187536 0.337192
-0.0351759 0.357091 4.72138 -9.33686 -0.0154047 0.384256
-0.0251256 0.404045 4.61989 -10.8524 -0.011579 0.430338
-0.0150754 0.449903 4.50339 -12.323 -0.00728685 0.475293
-0.00502513 0.494517 4.37237 -13.7421 -0.00253992 0.518978
0.00502513 0.537743 4.22736 -15.1037 0.00264854 0.561258
0.0150754 0.579444 4.06899 -16.4019 0.00826387 0.601999
0.0251256 0.619489 3.89791 -17.6316 0.0142901 0.641074
0.0351759 0.657754 3.71483 -18.7878 0.0207099 0.678363
0.0452261 0.694121 3.52052 -19.8663 0.0275049 0.71375
0.0552764 0.728483 3.31578 -20.8633 0.0346554 0.747129
0.0653266 0.760738 3.10145 -21.7754 0.0421407 0.778398
0.0753769 0.790794 2.87838 -22.6001 0.0499393 0.807463
0.0854271 0.818569 2.64747 -23.3349 0.0580285 0.834241
0.0954774 0.843987 2.40964 -23.9784 0.066385 0.858655
0.105528 0.866984 2.16581 -24.5293 0.0749849 0.880635
0.115578 0.887504 1.9169 -24.987 0.0838035 0.900122
0.125628 0.9055 1.66387 -25.3515 0.0928157 0.917065
0.135678 0.920937 1.40764 -25.6229 0.101996 0.931423
0.145729 0.933787 1.14914 -25.8022 0.111318 0.943164
0.155779 0.944031 0.889305 -25.8904 0.120757 0.952264
