10	0.00
12	0.00
14	0.00
16	0.00
18	0.00
20	0.00
22	0.00
24	0.00
26	0.00
28	0.00
30	0.00
32	0.00
34	0.00
36	0.00
38	0.00
40	0.00
42	0.00
44	0.00
46	0.01
48	0.00
50	0.00
52	0.00
54	0.01
56	0.01
58	0.01
60	0.01
62	0.01
64	0.01
66	0.01
68	0.01
70	0.02
72	0.02
74	0.02
76	0.02
78	0.02
80	0.02
82	0.02
84	0.02
86	0.02
88	0.02
90	0.02
92	0.02
94	0.01
96	0.02
98	0.02
100	0.03
102	0.02
104	0.03
106	0.03
108	0.03
110	0.02
112	0.03
114	0.03
116	0.03
118	0.09
120	0.12
122	0.10
124	0.09
126	0.12
128	0.11
130	0.10
132	0.13
134	0.12
136	0.12
138	0.14
140	0.14
142	0.13
144	0.13
146	0.13
148	0.11
150	0.13
152	0.11
154	0.09
156	0.18
158	0.19
160	0.19
162	0.18
164	0.18
166	0.14
168	0.21
170	0.13
172	0.15
174	0.14
176	0.12
178	0.13
180	0.10
182	0.11
184	0.11
186	0.10
188	0.11
190	0.10
192	0.12
194	0.10
196	0.12
198	0.14
200	0.11
202	0.14
204	0.15
206	0.12
208	0.24
210	0.15
212	0.14
214	0.15
216	0.16
218	0.17
220	0.17
222	0.17
224	0.19
226	0.16
228	0.20
230	0.18
232	0.19
234	0.48
236	0.48
238	0.45
240	0.29
242	0.23
244	0.24
246	0.19
248	0.23
250	0.23
252	0.24
254	0.25
256	0.24
258	0.26
260	0.23
262	0.26
264	0.25
266	0.25
268	0.27
270	0.29
272	0.30
274	0.27
276	0.29
278	0.33
280	0.29
282	0.30
284	0.31
286	0.30
288	0.31
290	0.33
292	0.35
294	0.34
296	0.33
298	0.34
300	0.36
302	0.35
304	0.37
306	0.37
308	0.36
310	0.42
312	0.40
314	0.37
316	0.43
318	0.43
320	0.41
322	0.41
324	0.42
326	0.49
328	0.45
330	0.46
332	0.45
334	0.45
336	0.44
338	0.47
340	1.02
342	0.50
344	0.50
346	0.52
348	0.54
350	1.15
352	0.55
354	0.56
356	0.55
358	0.59
360	0.58
362	0.57
364	0.60
366	0.63
368	0.60
370	0.64
372	0.60
374	1.46
376	1.32
378	0.72
380	0.70
382	0.68
384	0.70
386	0.68
388	0.67
390	0.71
392	0.70
394	0.71
396	0.75
398	0.71
400	0.73
402	0.72
404	0.77
406	0.77
408	0.76
410	0.79
412	0.79
414	0.86
416	0.82
418	0.81
420	0.85
422	0.84
424	0.87
426	0.91
428	0.89
430	0.89
432	0.92
434	0.94
436	0.99
438	0.93
440	0.97
442	0.98
444	0.99
446	1.00
448	1.82
450	1.09
452	1.08
454	1.14
456	1.10
458	1.12
460	1.10
462	1.11
464	1.11
466	1.17
468	1.14
470	1.12
472	1.16
474	1.22
476	1.23
478	1.25
480	1.22
482	1.21
484	1.27
486	1.22
488	1.36
490	1.28
492	1.29
494	1.35
496	1.35
498	1.39
500	2.18
